actor,date,speaking_turn_count,total_word_count,unique_word_count,avg_words_per_turn,avg_unique_words_per_turn
descriptor,1988-09-25,21,21,2,1.0,0.09523809523809523
Mashek,1988-09-25,9,468,252,52.0,28.0
Dukakis,1988-09-25,40,7129,1225,178.225,30.625
Groer,1988-09-25,7,849,394,121.28571428571429,56.285714285714285
Lehrer,1988-09-25,55,697,193,12.672727272727272,3.5090909090909093
Jennings,1988-09-25,7,648,302,92.57142857142857,43.142857142857146
Bush,1988-09-25,42,5643,1235,134.35714285714286,29.404761904761905
Quayle,1988-10-05,34,5431,1061,159.73529411764707,31.205882352941178
Woodruff,1988-10-05,58,835,294,14.39655172413793,5.068965517241379
Margolis,1988-10-05,12,1078,460,89.83333333333333,38.333333333333336
Brokaw,1988-10-05,10,685,301,68.5,30.1
Bentsen,1988-10-05,32,5945,1155,185.78125,36.09375
Hume,1988-10-05,5,504,214,100.8,42.8
Dukakis,1988-10-13,42,6899,1291,164.26190476190476,30.738095238095237
Shaw,1988-10-13,58,658,194,11.344827586206897,3.3448275862068964
Compton,1988-10-13,10,601,305,60.1,30.5
Mitchell,1988-10-13,9,661,306,73.44444444444444,34.0
Warner,1988-10-13,12,613,289,51.083333333333336,24.083333333333332
Bush,1988-10-13,42,5895,1268,140.35714285714286,30.19047619047619
Perot,1992-10-11,14,2831,753,202.21428571428572,53.785714285714285
descriptor,1992-10-11,5,5,1,1.0,0.2
Vanocur,1992-10-11,3,201,128,67.0,42.666666666666664
